,Folds
0,1.2.276.0.7230010.3.1.4.8323329.10131.1517875222.282462
1,1.2.276.0.7230010.3.1.4.8323329.10173.1517875222.480007
2,1.2.276.0.7230010.3.1.4.8323329.5107.1517875186.448032
3,1.2.276.0.7230010.3.1.4.8323329.32230.1517875159.146791
4,1.2.276.0.7230010.3.1.4.8323329.2506.1517875173.79553
5,1.2.276.0.7230010.3.1.4.8323329.1878.1517875170.40847
6,1.2.276.0.7230010.3.1.4.8323329.12076.1517875237.250640
7,1.2.276.0.7230010.3.1.4.8323329.1546.1517875168.319844
8,1.2.276.0.7230010.3.1.4.8323329.10031.1517875221.31204
9,1.2.276.0.7230010.3.1.4.8323329.432.1517875162.913455
10,1.2.276.0.7230010.3.1.4.8323329.11986.1517875236.774021
11,1.2.276.0.7230010.3.1.4.8323329.12397.1517875238.967050
12,1.2.276.0.7230010.3.1.4.8323329.4981.1517875185.834231
13,1.2.276.0.7230010.3.1.4.8323329.10557.1517875224.257683
14,1.2.276.0.7230010.3.1.4.8323329.3405.1517875177.691392
15,1.2.276.0.7230010.3.1.4.8323329.2794.1517875174.774975
16,1.2.276.0.7230010.3.1.4.8323329.1774.1517875169.362466
17,1.2.276.0.7230010.3.1.4.8323329.1075.1517875166.202853
18,1.2.276.0.7230010.3.1.4.8323329.2141.1517875171.331576
19,1.2.276.0.7230010.3.1.4.8323329.10361.1517875223.364492
20,1.2.276.0.7230010.3.1.4.8323329.12500.1517875239.422462
21,1.2.276.0.7230010.3.1.4.8323329.13955.1517875248.828863
22,1.2.276.0.7230010.3.1.4.8323329.403.1517875162.798239
23,1.2.276.0.7230010.3.1.4.8323329.2219.1517875171.688710
24,1.2.276.0.7230010.3.1.4.8323329.11932.1517875236.508586
25,1.2.276.0.7230010.3.1.4.8323329.480.1517875163.138840
26,1.2.276.0.7230010.3.1.4.8323329.11701.1517875234.373651
27,1.2.276.0.7230010.3.1.4.8323329.5438.1517875188.122070
28,1.2.276.0.7230010.3.1.4.8323329.4051.1517875180.870902
29,1.2.276.0.7230010.3.1.4.8323329.13923.1517875248.654286
30,1.2.276.0.7230010.3.1.4.8323329.5706.1517875189.700220
31,1.2.276.0.7230010.3.1.4.8323329.10680.1517875225.30484
32,1.2.276.0.7230010.3.1.4.8323329.3140.1517875176.297522
33,1.2.276.0.7230010.3.1.4.8323329.31647.1517875156.72602
34,1.2.276.0.7230010.3.1.4.8323329.13744.1517875247.692138
35,1.2.276.0.7230010.3.1.4.8323329.14426.1517875252.68865
36,1.2.276.0.7230010.3.1.4.8323329.4890.1517875185.287098
37,1.2.276.0.7230010.3.1.4.8323329.4354.1517875182.433930
38,1.2.276.0.7230010.3.1.4.8323329.11214.1517875231.752913
39,1.2.276.0.7230010.3.1.4.8323329.32007.1517875157.982809
40,1.2.276.0.7230010.3.1.4.8323329.2870.1517875175.160365
41,1.2.276.0.7230010.3.1.4.8323329.3978.1517875180.492786
42,1.2.276.0.7230010.3.1.4.8323329.32328.1517875160.60457
43,1.2.276.0.7230010.3.1.4.8323329.12650.1517875240.986072
44,1.2.276.0.7230010.3.1.4.8323329.11797.1517875234.898478
45,1.2.276.0.7230010.3.1.4.8323329.5261.1517875187.228543
46,1.2.276.0.7230010.3.1.4.8323329.1525.1517875168.230589
47,1.2.276.0.7230010.3.1.4.8323329.5258.1517875187.205079
48,1.2.276.0.7230010.3.1.4.8323329.2941.1517875175.444230
49,1.2.276.0.7230010.3.1.4.8323329.3581.1517875178.551671
50,1.2.276.0.7230010.3.1.4.8323329.12049.1517875237.102149
51,1.2.276.0.7230010.3.1.4.8323329.2489.1517875173.17373
52,1.2.276.0.7230010.3.1.4.8323329.3286.1517875177.92692
53,1.2.276.0.7230010.3.1.4.8323329.31870.1517875157.251852
54,1.2.276.0.7230010.3.1.4.8323329.13286.1517875244.519570
55,1.2.276.0.7230010.3.1.4.8323329.32740.1517875162.113811
56,1.2.276.0.7230010.3.1.4.8323329.13355.1517875244.795678
57,1.2.276.0.7230010.3.1.4.8323329.32590.1517875161.376601
58,1.2.276.0.7230010.3.1.4.8323329.1262.1517875167.11459
59,1.2.276.0.7230010.3.1.4.8323329.1867.1517875169.972736
60,1.2.276.0.7230010.3.1.4.8323329.14498.1517875252.402631
61,1.2.276.0.7230010.3.1.4.8323329.12781.1517875241.802291
62,1.2.276.0.7230010.3.1.4.8323329.32353.1517875160.175087
63,1.2.276.0.7230010.3.1.4.8323329.10358.1517875223.346264
64,1.2.276.0.7230010.3.1.4.8323329.11321.1517875232.313040
65,1.2.276.0.7230010.3.1.4.8323329.10395.1517875223.513440
66,1.2.276.0.7230010.3.1.4.8323329.32382.1517875160.313844
67,1.2.276.0.7230010.3.1.4.8323329.12974.1517875242.810717
68,1.2.276.0.7230010.3.1.4.8323329.12454.1517875239.191587
69,1.2.276.0.7230010.3.1.4.8323329.10645.1517875224.708994
70,1.2.276.0.7230010.3.1.4.8323329.13681.1517875247.197556
71,1.2.276.0.7230010.3.1.4.8323329.4664.1517875184.31466
72,1.2.276.0.7230010.3.1.4.8323329.4188.1517875181.583930
