,Folds
0,1.2.276.0.7230010.3.1.4.8323329.3717.1517875179.141620
1,1.2.276.0.7230010.3.1.4.8323329.3288.1517875177.106544
2,1.2.276.0.7230010.3.1.4.8323329.4244.1517875181.874899
3,1.2.276.0.7230010.3.1.4.8323329.11155.1517875231.450190
4,1.2.276.0.7230010.3.1.4.8323329.12302.1517875238.465575
5,1.2.276.0.7230010.3.1.4.8323329.3261.1517875176.938736
6,1.2.276.0.7230010.3.1.4.8323329.11725.1517875234.497613
7,1.2.276.0.7230010.3.1.4.8323329.14456.1517875252.196360
8,1.2.276.0.7230010.3.1.4.8323329.5734.1517875189.891532
9,1.2.276.0.7230010.3.1.4.8323329.2488.1517875173.14450
10,1.2.276.0.7230010.3.1.4.8323329.5708.1517875189.694020
11,1.2.276.0.7230010.3.1.4.8323329.2213.1517875171.675000
12,1.2.276.0.7230010.3.1.4.8323329.2350.1517875172.303612
13,1.2.276.0.7230010.3.1.4.8323329.2323.1517875172.175897
14,1.2.276.0.7230010.3.1.4.8323329.12091.1517875237.326942
15,1.2.276.0.7230010.3.1.4.8323329.2485.1517875172.994734
16,1.2.276.0.7230010.3.1.4.8323329.3830.1517875179.700396
17,1.2.276.0.7230010.3.1.4.8323329.1784.1517875169.407834
18,1.2.276.0.7230010.3.1.4.8323329.11993.1517875236.797581
19,1.2.276.0.7230010.3.1.4.8323329.32753.1517875162.170353
20,1.2.276.0.7230010.3.1.4.8323329.32368.1517875160.253094
21,1.2.276.0.7230010.3.1.4.8323329.1278.1517875167.92617
22,1.2.276.0.7230010.3.1.4.8323329.32399.1517875160.412659
23,1.2.276.0.7230010.3.1.4.8323329.2531.1517875173.230476
24,1.2.276.0.7230010.3.1.4.8323329.13610.1517875246.851338
25,1.2.276.0.7230010.3.1.4.8323329.1084.1517875166.254101
26,1.2.276.0.7230010.3.1.4.8323329.13051.1517875243.309769
27,1.2.276.0.7230010.3.1.4.8323329.12815.1517875241.980169
28,1.2.276.0.7230010.3.1.4.8323329.2676.1517875174.6362
29,1.2.276.0.7230010.3.1.4.8323329.11090.1517875230.969160
30,1.2.276.0.7230010.3.1.4.8323329.10907.1517875227.850816
31,1.2.276.0.7230010.3.1.4.8323329.32146.1517875158.689531
32,1.2.276.0.7230010.3.1.4.8323329.3986.1517875180.525733
33,1.2.276.0.7230010.3.1.4.8323329.12558.1517875239.714420
34,1.2.276.0.7230010.3.1.4.8323329.13590.1517875246.768731
35,1.2.276.0.7230010.3.1.4.8323329.2113.1517875171.230140
36,1.2.276.0.7230010.3.1.4.8323329.14490.1517875252.365220
37,1.2.276.0.7230010.3.1.4.8323329.1913.1517875170.205289
38,1.2.276.0.7230010.3.1.4.8323329.4721.1517875184.301642
39,1.2.276.0.7230010.3.1.4.8323329.3602.1517875178.633589
40,1.2.276.0.7230010.3.1.4.8323329.2511.1517875173.103305
41,1.2.276.0.7230010.3.1.4.8323329.14435.1517875252.97906
42,1.2.276.0.7230010.3.1.4.8323329.3996.1517875180.559399
43,1.2.276.0.7230010.3.1.4.8323329.3972.1517875180.410052
44,1.2.276.0.7230010.3.1.4.8323329.3476.1517875178.7133
45,1.2.276.0.7230010.3.1.4.8323329.4127.1517875181.246321
46,1.2.276.0.7230010.3.1.4.8323329.5044.1517875186.118298
47,1.2.276.0.7230010.3.1.4.8323329.14571.1517875252.752488
48,1.2.276.0.7230010.3.1.4.8323329.1421.1517875167.689908
49,1.2.276.0.7230010.3.1.4.8323329.3253.1517875176.905250
50,1.2.276.0.7230010.3.1.4.8323329.4802.1517875184.878614
51,1.2.276.0.7230010.3.1.4.8323329.2179.1517875171.512878
52,1.2.276.0.7230010.3.1.4.8323329.10591.1517875224.447491
53,1.2.276.0.7230010.3.1.4.8323329.32693.1517875161.834533
54,1.2.276.0.7230010.3.1.4.8323329.4405.1517875182.677055
55,1.2.276.0.7230010.3.1.4.8323329.13677.1517875247.181790
56,1.2.276.0.7230010.3.1.4.8323329.12296.1517875238.439802
57,1.2.276.0.7230010.3.1.4.8323329.12862.1517875242.264862
58,1.2.276.0.7230010.3.1.4.8323329.2542.1517875173.291111
59,1.2.276.0.7230010.3.1.4.8323329.1373.1517875167.436022
60,1.2.276.0.7230010.3.1.4.8323329.11775.1517875234.740023
61,1.2.276.0.7230010.3.1.4.8323329.4627.1517875183.813615
62,1.2.276.0.7230010.3.1.4.8323329.2701.1517875174.132262
63,1.2.276.0.7230010.3.1.4.8323329.32023.1517875158.63419
64,1.2.276.0.7230010.3.1.4.8323329.2491.1517875173.32366
65,1.2.276.0.7230010.3.1.4.8323329.3813.1517875179.597068
66,1.2.276.0.7230010.3.1.4.8323329.32494.1517875160.864390
67,1.2.276.0.7230010.3.1.4.8323329.2649.1517875173.888097
68,1.2.276.0.7230010.3.1.4.8323329.31776.1517875156.793724
69,1.2.276.0.7230010.3.1.4.8323329.12514.1517875239.492761
70,1.2.276.0.7230010.3.1.4.8323329.10120.1517875222.195577
71,1.2.276.0.7230010.3.1.4.8323329.13048.1517875243.311021
72,1.2.276.0.7230010.3.1.4.8323329.12046.1517875237.84300
73,1.2.276.0.7230010.3.1.4.8323329.11418.1517875232.855534
74,1.2.276.0.7230010.3.1.4.8323329.11168.1517875231.500013
75,1.2.276.0.7230010.3.1.4.8323329.32159.1517875158.751133
76,1.2.276.0.7230010.3.1.4.8323329.10879.1517875226.99155
77,1.2.276.0.7230010.3.1.4.8323329.2650.1517875173.880323
78,1.2.276.0.7230010.3.1.4.8323329.32313.1517875159.993797
79,1.2.276.0.7230010.3.1.4.8323329.32526.1517875160.998009
80,1.2.276.0.7230010.3.1.4.8323329.14428.1517875252.73076
81,1.2.276.0.7230010.3.1.4.8323329.13790.1517875247.952828
82,1.2.276.0.7230010.3.1.4.8323329.4225.1517875181.811289
83,1.2.276.0.7230010.3.1.4.8323329.11489.1517875233.189659
84,1.2.276.0.7230010.3.1.4.8323329.5176.1517875186.820533
85,1.2.276.0.7230010.3.1.4.8323329.5453.1517875188.223867
86,1.2.276.0.7230010.3.1.4.8323329.10144.1517875222.322310
87,1.2.276.0.7230010.3.1.4.8323329.2114.1517875171.231861
88,1.2.276.0.7230010.3.1.4.8323329.10500.1517875223.984433
89,1.2.276.0.7230010.3.1.4.8323329.1912.1517875170.206707
90,1.2.276.0.7230010.3.1.4.8323329.10054.1517875221.775443
91,1.2.276.0.7230010.3.1.4.8323329.14405.1517875251.951477
92,1.2.276.0.7230010.3.1.4.8323329.14234.1517875250.359866
93,1.2.276.0.7230010.3.1.4.8323329.2541.1517875173.275944
94,1.2.276.0.7230010.3.1.4.8323329.32212.1517875159.42351
95,1.2.276.0.7230010.3.1.4.8323329.3234.1517875176.774624
96,1.2.276.0.7230010.3.1.4.8323329.10811.1517875225.737197
