,Folds
0,1.2.276.0.7230010.3.1.4.8323329.3717.1517875179.141620
1,1.2.276.0.7230010.3.1.4.8323329.3288.1517875177.106544
2,1.2.276.0.7230010.3.1.4.8323329.4244.1517875181.874899
3,1.2.276.0.7230010.3.1.4.8323329.11155.1517875231.450190
4,1.2.276.0.7230010.3.1.4.8323329.12302.1517875238.465575
5,1.2.276.0.7230010.3.1.4.8323329.3261.1517875176.938736
6,1.2.276.0.7230010.3.1.4.8323329.3766.1517875179.336588
7,1.2.276.0.7230010.3.1.4.8323329.11725.1517875234.497613
8,1.2.276.0.7230010.3.1.4.8323329.12726.1517875241.448800
9,1.2.276.0.7230010.3.1.4.8323329.5734.1517875189.891532
10,1.2.276.0.7230010.3.1.4.8323329.2488.1517875173.14450
11,1.2.276.0.7230010.3.1.4.8323329.5708.1517875189.694020
12,1.2.276.0.7230010.3.1.4.8323329.2213.1517875171.675000
13,1.2.276.0.7230010.3.1.4.8323329.2350.1517875172.303612
14,1.2.276.0.7230010.3.1.4.8323329.2323.1517875172.175897
15,1.2.276.0.7230010.3.1.4.8323329.2485.1517875172.994734
16,1.2.276.0.7230010.3.1.4.8323329.10657.1517875224.945128
17,1.2.276.0.7230010.3.1.4.8323329.3830.1517875179.700396
18,1.2.276.0.7230010.3.1.4.8323329.1784.1517875169.407834
19,1.2.276.0.7230010.3.1.4.8323329.11993.1517875236.797581
20,1.2.276.0.7230010.3.1.4.8323329.1278.1517875167.92617
21,1.2.276.0.7230010.3.1.4.8323329.32399.1517875160.412659
22,1.2.276.0.7230010.3.1.4.8323329.2531.1517875173.230476
23,1.2.276.0.7230010.3.1.4.8323329.13610.1517875246.851338
24,1.2.276.0.7230010.3.1.4.8323329.1084.1517875166.254101
25,1.2.276.0.7230010.3.1.4.8323329.13051.1517875243.309769
26,1.2.276.0.7230010.3.1.4.8323329.12815.1517875241.980169
27,1.2.276.0.7230010.3.1.4.8323329.2676.1517875174.6362
28,1.2.276.0.7230010.3.1.4.8323329.11090.1517875230.969160
29,1.2.276.0.7230010.3.1.4.8323329.10907.1517875227.850816
30,1.2.276.0.7230010.3.1.4.8323329.32146.1517875158.689531
31,1.2.276.0.7230010.3.1.4.8323329.3986.1517875180.525733
32,1.2.276.0.7230010.3.1.4.8323329.12558.1517875239.714420
33,1.2.276.0.7230010.3.1.4.8323329.13590.1517875246.768731
34,1.2.276.0.7230010.3.1.4.8323329.2113.1517875171.230140
35,1.2.276.0.7230010.3.1.4.8323329.14490.1517875252.365220
36,1.2.276.0.7230010.3.1.4.8323329.1913.1517875170.205289
37,1.2.276.0.7230010.3.1.4.8323329.4721.1517875184.301642
38,1.2.276.0.7230010.3.1.4.8323329.14435.1517875252.97906
39,1.2.276.0.7230010.3.1.4.8323329.3996.1517875180.559399
40,1.2.276.0.7230010.3.1.4.8323329.3972.1517875180.410052
41,1.2.276.0.7230010.3.1.4.8323329.3476.1517875178.7133
42,1.2.276.0.7230010.3.1.4.8323329.4127.1517875181.246321
43,1.2.276.0.7230010.3.1.4.8323329.5044.1517875186.118298
44,1.2.276.0.7230010.3.1.4.8323329.14571.1517875252.752488
45,1.2.276.0.7230010.3.1.4.8323329.1421.1517875167.689908
46,1.2.276.0.7230010.3.1.4.8323329.32508.1517875160.924801
47,1.2.276.0.7230010.3.1.4.8323329.3253.1517875176.905250
48,1.2.276.0.7230010.3.1.4.8323329.4802.1517875184.878614
49,1.2.276.0.7230010.3.1.4.8323329.2179.1517875171.512878
50,1.2.276.0.7230010.3.1.4.8323329.10591.1517875224.447491
51,1.2.276.0.7230010.3.1.4.8323329.32693.1517875161.834533
52,1.2.276.0.7230010.3.1.4.8323329.4405.1517875182.677055
53,1.2.276.0.7230010.3.1.4.8323329.13677.1517875247.181790
54,1.2.276.0.7230010.3.1.4.8323329.12296.1517875238.439802
55,1.2.276.0.7230010.3.1.4.8323329.12862.1517875242.264862
56,1.2.276.0.7230010.3.1.4.8323329.2542.1517875173.291111
57,1.2.276.0.7230010.3.1.4.8323329.1373.1517875167.436022
58,1.2.276.0.7230010.3.1.4.8323329.11775.1517875234.740023
59,1.2.276.0.7230010.3.1.4.8323329.2701.1517875174.132262
60,1.2.276.0.7230010.3.1.4.8323329.32023.1517875158.63419
61,1.2.276.0.7230010.3.1.4.8323329.2491.1517875173.32366
62,1.2.276.0.7230010.3.1.4.8323329.3813.1517875179.597068
63,1.2.276.0.7230010.3.1.4.8323329.32494.1517875160.864390
64,1.2.276.0.7230010.3.1.4.8323329.31776.1517875156.793724
65,1.2.276.0.7230010.3.1.4.8323329.12514.1517875239.492761
66,1.2.276.0.7230010.3.1.4.8323329.10120.1517875222.195577
67,1.2.276.0.7230010.3.1.4.8323329.13048.1517875243.311021
68,1.2.276.0.7230010.3.1.4.8323329.12046.1517875237.84300
69,1.2.276.0.7230010.3.1.4.8323329.11418.1517875232.855534
70,1.2.276.0.7230010.3.1.4.8323329.32159.1517875158.751133
71,1.2.276.0.7230010.3.1.4.8323329.10879.1517875226.99155
72,1.2.276.0.7230010.3.1.4.8323329.2650.1517875173.880323
73,1.2.276.0.7230010.3.1.4.8323329.14428.1517875252.73076
74,1.2.276.0.7230010.3.1.4.8323329.13790.1517875247.952828
75,1.2.276.0.7230010.3.1.4.8323329.11489.1517875233.189659
76,1.2.276.0.7230010.3.1.4.8323329.5176.1517875186.820533
77,1.2.276.0.7230010.3.1.4.8323329.5453.1517875188.223867
78,1.2.276.0.7230010.3.1.4.8323329.2114.1517875171.231861
79,1.2.276.0.7230010.3.1.4.8323329.10500.1517875223.984433
80,1.2.276.0.7230010.3.1.4.8323329.1912.1517875170.206707
81,1.2.276.0.7230010.3.1.4.8323329.10054.1517875221.775443
82,1.2.276.0.7230010.3.1.4.8323329.14405.1517875251.951477
83,1.2.276.0.7230010.3.1.4.8323329.14234.1517875250.359866
84,1.2.276.0.7230010.3.1.4.8323329.2541.1517875173.275944
85,1.2.276.0.7230010.3.1.4.8323329.10168.1517875222.448105
86,1.2.276.0.7230010.3.1.4.8323329.32212.1517875159.42351
87,1.2.276.0.7230010.3.1.4.8323329.3234.1517875176.774624
88,1.2.276.0.7230010.3.1.4.8323329.10811.1517875225.737197
89,1.2.276.0.7230010.3.1.4.8323329.1636.1517875168.675520
90,1.2.276.0.7230010.3.1.4.8323329.5586.1517875188.905087
91,1.2.276.0.7230010.3.1.4.8323329.11046.1517875230.89394
92,1.2.276.0.7230010.3.1.4.8323329.4400.1517875182.649687
93,1.2.276.0.7230010.3.1.4.8323329.5780.1517875190.515264
94,1.2.276.0.7230010.3.1.4.8323329.13951.1517875248.819627
95,1.2.276.0.7230010.3.1.4.8323329.32366.1517875160.250195
96,1.2.276.0.7230010.3.1.4.8323329.3348.1517875177.424659
